Metrics,LoadPoint,Bandwidth,src,dest, ,rep0,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9
Total energy consumption (Joule),0,all,all,all, ,1.0095128818243596E12,9.803291916194894E11,1.0333160704060068E12,9.823886816419417E11,9.960698638717876E11,1.021720560163996E12,1.0130596861941234E12,9.851182433382738E11,1.0130948252910688E12,9.818501093403787E11
Total energy consumption (Joule),1,all,all,all, ,9.402905634131797E11,9.556747462078391E11,9.53719249512555E11,9.68333265991488E11,9.316055760501119E11,9.600105936880322E11,9.629092117118119E11,9.69659548167355E11,9.853462614056763E11,9.739021689712073E11
Total energy consumption (Joule),2,all,all,all, ,9.128334974233478E11,9.158286516196936E11,9.439218767010938E11,9.13353987929756E11,9.179693638196809E11,9.081904639864479E11,8.943602560566653E11,9.324564735880995E11,9.319318842571415E11,8.971832864103987E11
Total energy consumption (Joule),3,all,all,all, ,8.770419930945669E11,8.807569712509404E11,9.058381806239739E11,8.825054706173436E11,8.925999154690145E11,8.592919834472903E11,8.903911666357344E11,8.643286822554229E11,8.627459814696871E11,8.305957982736992E11
Total energy consumption (Joule),4,all,all,all, ,8.272777904758601E11,7.994421519828236E11,8.32398799378112E11,8.22518066607951E11,8.30959115980118E11,8.105823094341914E11,8.458320123149951E11,8.259638920164602E11,8.340486157765044E11,8.527961824930736E11


Average power consumption (Watt),0,all,all,all, ,500678.64518000284,505052.87144478963,499186.3398174261,502212.36334180937,503166.2196644612,502370.6411563601,503695.29216782044,500158.75944076,503269.40910167317,500360.6112346893
Average power consumption (Watt),1,all,all,all, ,556482.9578589504,557128.9465053707,558012.9488102115,556533.9325878611,556316.3660628973,556734.7320489973,556849.3813048489,557677.084978529,556890.496063447,556018.5394578807
Average power consumption (Watt),2,all,all,all, ,604840.7318843417,606423.2756314513,607964.9981094628,607805.067328354,605483.0358650907,607037.0229873494,602812.6956251033,609488.0543298023,610107.56623942,605146.9842194528
Average power consumption (Watt),3,all,all,all, ,655151.981403691,656453.6591521691,659814.5259486258,655778.5895295044,661074.3848050408,654053.7641595547,655742.2079620807,654966.6448814628,658780.8271748998,653798.0240749279
Average power consumption (Watt),4,all,all,all, ,702296.623686597,701571.6349710388,704938.2355522023,702749.2709444843,711046.648650932,701411.9346740034,705266.168200114,706487.5360568872,704201.8619919613,703316.2727159627


Energy efficiency (bits/Joule),0,all,all,all, ,3.0972389279857557E7,3.2235544113265928E7,3.0037103367442522E7,3.1975565112532876E7,3.1458694757462926E7,3.0821777757368755E7,3.1401850197126154E7,3.1695851163697455E7,3.089167914634365E7,3.1730208817642592E7
Energy efficiency (bits/Joule),1,all,all,all, ,3.3259282082003243E7,3.2823155792756602E7,3.2957200214846056E7,3.249120578058236E7,3.3459611038520686E7,3.252965962152095E7,3.2439146536313746E7,3.2506581041783288E7,3.1572805853991963E7,3.208903045857462E7
Energy efficiency (bits/Joule),2,all,all,all, ,3.4158038620632924E7,3.3984131273465104E7,3.3112581867361393E7,3.4390991619505696E7,3.392414179506322E7,3.425002933033056E7,3.493911557996031E7,3.3724497604889214E7,3.3485671956094228E7,3.4666683486903235E7
Energy efficiency (bits/Joule),3,all,all,all, ,3.587417104827516E7,3.559845868030581E7,3.458448782171151E7,3.545471166869355E7,3.49613206045127E7,3.606899566415888E7,3.4828136819974154E7,3.608017415335412E7,3.651643175623192E7,3.754018013683751E7
Energy efficiency (bits/Joule),4,all,all,all, ,3.741600962221228E7,3.864197471646191E7,3.7363144469147466E7,3.759503627003024E7,3.745061098730184E7,3.774186256233949E7,3.6679637183332816E7,3.731483232885681E7,3.7241711999951124E7,3.6168613845421694E7


Total data transmitted (bits),0,all,all,all, ,3.1267025958894903E19,3.1601444901972378E19,3.1037821618024743E19,3.1412433255657234E19,3.1335057804650213E19,3.1491244035508994E19,3.1811948506615493E19,3.122416121949302E19,3.1296200287712772E19,3.1154308996995424E19
Total data transmitted (bits),1,all,all,all, ,3.1273389087604703E19,3.136826108198303E19,3.1431916254937997E19,3.1462315409512833E19,3.117116021595375E19,3.1228817845725938E19,3.123595301988582E19,3.152031668544109E19,3.111014621031823E19,3.1251576363788956E19
Total data transmitted (bits),2,all,all,all, ,3.118060185919414E19,3.1123641120644207E19,3.1255690418658374E19,3.1411149344534344E19,3.114132286174283E19,3.110555002906236E19,3.1248156356486726E19,3.1446626110185304E19,3.1206365361659412E19,3.110236901972894E19
Total data transmitted (bits),3,all,all,all, ,3.146315447679465E19,3.1353590648467894E19,3.1327949526231134E19,3.1288977006782628E19,3.1206471816273154E19,3.09937988252068E19,3.1010665374885765E19,3.1185129381514736E19,3.1504404755301155E19,3.1180715888095023E19
Total data transmitted (bits),4,all,all,all, ,3.09534337686873E19,3.089202342419417E19,3.1101036597109297E19,3.092259654688107E19,3.1119926598923633E19,3.0592886118128996E19,3.1024811329762316E19,3.0820704140284207E19,3.106139834270647E19,3.0844455813441745E19


Total energy consumption by transponders (Joule),0,all,all,all, ,8.266666868409447E11,8.314865348769506E11,8.257622254146608E11,8.290745379530438E11,8.477236989770552E11,8.519562067570876E11,8.465367292032479E11,8.281713251973512E11,8.312044407010503E11,8.327079792068347E11
Total energy consumption by transponders (Joule),1,all,all,all, ,8.199624075657579E11,8.28609587251316E11,8.342568076896001E11,8.371920762690626E11,8.115558730616218E11,8.369226036682302E11,8.396957333301575E11,8.426725901684988E11,8.421224465410955E11,8.497732472733035E11
Total energy consumption by transponders (Joule),2,all,all,all, ,8.060860356123732E11,8.084157985790767E11,8.397578969301647E11,8.11505178060869E11,7.982497821551031E11,8.036792612901797E11,7.934194801179374E11,8.224030278334764E11,8.324213376329485E11,7.973916787795046E11
Total energy consumption by transponders (Joule),3,all,all,all, ,7.846537962371085E11,7.92380063519142E11,8.097547684085317E11,7.946426572282649E11,7.984977186590334E11,7.744244453810857E11,7.917848243362646E11,7.721337848919429E11,7.639007838504982E11,7.462877706311886E11
Total energy consumption by transponders (Joule),4,all,all,all, ,7.499588319976316E11,7.216510795234088E11,7.525075007809646E11,7.432528188224025E11,7.519053987299247E11,7.271316672569506E11,7.719156661993499E11,7.47658463258823E11,7.545348851773143E11,7.692418474729087E11


Total energy consumption by OXCs (Joule),0,all,all,all, ,1.1043186033651791E11,8.989506991381058E10,1.253543024205159E11,9.25956709408195E10,8.959520850077898E10,1.0253094611704366E11,1.0057327105389511E11,9.478972283758693E10,1.0985458871278352E11,9.007593998164539E10
Total energy consumption by OXCs (Joule),1,all,all,all, ,7.267344066032405E10,7.674232372621689E10,7.215058367525003E10,7.92040848818609E10,7.250526616136528E10,7.434027120007841E10,7.441606120080121E10,7.669509344485373E10,8.650151194791513E10,7.496895270863496E10
Total energy consumption by OXCs (Joule),2,all,all,all, ,6.447123931157875E10,6.4873109262154755E10,6.291091847551161E10,6.151264754457532E10,7.23058859558341E10,6.312062737101349E10,6.0964231012499054E10,6.6467922683485176E10,6.010042914926505E10,6.027017886618352E10
Total energy consumption by OXCs (Joule),3,all,all,all, ,5.5798811963415474E10,5.337615219445255E10,5.803057569447494E10,5.306565957162181E10,5.6834000053552956E10,5.125663190137109E10,5.95543255472045E10,5.5682066724478E10,5.969858470069829E10,5.091870976428856E10
Total energy consumption by OXCs (Joule),4,all,all,all, ,4.669758878388061E10,4.6982726930933685E10,4.825118034085142E10,4.787307044473728E10,4.774531437882968E10,5.0400882899125694E10,4.464254567380558E10,4.729337776451353E10,4.802314422327322E10,5.046350926960458E10


Total energy consumption by Amplifiers (Joule),0,all,all,all, ,7.241433464689699E10,5.894758682872825E10,8.21995425708301E10,6.071847274807836E10,5.875095639395342E10,6.723340728986469E10,6.59496859369804E10,6.2157195303335686E10,7.20357958772351E10,5.906619015189861E10
Total energy consumption by Amplifiers (Joule),1,all,all,all, ,4.765471518709774E10,5.032283523030616E10,4.731185814770494E10,5.193710484056452E10,4.754443682712478E10,4.874771881972355E10,4.879741718085325E10,5.029186455400245E10,5.6722302916665665E10,4.915996898926883E10
Total energy consumption by Amplifiers (Joule),2,all,all,all, ,4.2276222499395905E10,4.2539743778462135E10,4.125306129541745E10,4.033616232431168E10,4.741369570874368E10,4.1390575325254745E10,3.997654492622889E10,4.358552307113782E10,3.94101174749279E10,3.95214287647105E10
Total energy consumption by Amplifiers (Joule),3,all,all,all, ,3.658938489404293E10,3.500075553734594E10,3.805283652096717E10,3.4797153817456924E10,3.726819675642817E10,3.3610906164833504E10,3.905201675226524E10,3.651283063900196E10,3.9146612918490685E10,3.3389317878222004E10
Total energy consumption by Amplifiers (Joule),4,all,all,all, ,3.062136969434794E10,3.0808345528481106E10,3.164011825629601E10,3.1392177340811333E10,3.1308402871363728E10,3.304975927811521E10,2.927380044183972E10,3.1012050993123623E10,3.1490586375916866E10,3.3090825750560383E10


